Agroapp | Resumen financiero y operativo (3 años desde el inicio del MVP),,,,,,,
,,,,,,,
KPIs de la simulación,,,,,,,
Coste total desarrollo,"€94,143.75",,Pico de financiación necesario,"€263,627.97",,Mes estimado de break-even mensual,24
,,,,,,,
,,,,,,,
Clientes activos al final del año 3,751.12,,ARR de salida (año 3),"€811,210.42",,Ingresos acumulados 3 años,"€695,935.14"
,,,,,,,
,,,,,,,
Resumen anual,,,,,,,
Concepto,Año 1,Año 2,Año 3,Total 3 años,,,
Ingresos SaaS,"€9,005.37","€154,689.01","€532,240.76","€695,935.14",,,
Coste desarrollo,"€94,143.75",-,-,"€94,143.75",,,
Equipo operación,"€76,800.00","€136,800.00","€193,200.00","€406,800.00",,,
Marketing y ventas,"€13,300.00","€70,200.00","€105,600.00","€189,100.00",,,
Infraestructura total,"€11,913.49","€22,636.37","€41,100.41","€75,650.27",,,
Coste total,"€196,157.24","€229,636.37","€339,900.41","€765,694.02",,,
Resultado,"(€187,151.87)","(€74,947.36)","€192,340.35","(€69,758.88)",,,
,,,,,,,
,,,,,,,
Indicadores de clientes,,,,,,,
Concepto,Año 1,Año 2,Año 3,Observación,,,
Clientes nuevos,47.00,257.00,558.00,Captación acumulada anual,,,
Clientes activos fin de año,45.32,278.28,751.12,Base activa al cierre,,,
ARR de salida del año,"€48,940.76","€300,543.76","€811,210.42",Ingresos recurrentes anualizados,,,
,,,,,,,
Hipótesis de captación: rampa gradual desde pilotos MVP hasta escalado comercial tras el producto completo.,,,,,,,
"El modelo usa un churn mensual del 1,5% y costes operativos crecientes por fase.",,,,,,,
,,,,,,,
"Al aplicar el 40% el valor HH =>  31,25€/HH-",,,,,,,
,,,,,,,
"El documento se proyecta a 3 años, desde el desarrollo del MVP hasta la puesta en producción.",,,,,,,
,,,,,,,
"Esta proyección va con el mismo valor de abajo, es decir, como si el dueño fuese Pujavante y le paga a DataQu.",,,,,,,
