Actividad,Tarea,Funcionalidad,Descripción,BASICA (incluida en version gratuita GOB),BASICA (deseable),PREMIUM,ADD-ONs,HH,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10
Gestión y definición del proyecto,"Kickoff, gobierno del proyecto y metodología de trabajo",,"Instalación del proyecto, definición de responsables, rituales de seguimiento, canales de comunicación, criterios de avance y control de cambios.",X,,,,10,1,1,,,,,,,,
,Levantamiento de procesos y fuentes de información,,"Levantamiento funcional de procesos agrícolas, ganaderos, administrativos y financieros; identificación de fuentes, documentos, reportes y brechas.",X,,,,30,1,1,,,,,,,,
,"Definición de alcance, backlog y criterios de aceptación",,"Priorización del MVP, definición de historias de usuario, criterios de aceptación y roadmap de evolución por planes.",X,,,,28,1,1,,,,,,,,
UX/UI y prototipado,Definición de lineamientos visuales y design system,,"Definición de paleta, componentes UI, tablas, formularios, tarjetas, KPIs, mapas esquemáticos y criterios responsive.",X,,,,36,1,1,,,,,,,,
,Wireframes y mockups navegables de alto nivel,,"Diseño de flujos principales para login, dashboard, agricultura, ganadería, administración, analítica, reportería y navegación de tres niveles.",,X,,,42,1,1,,,,,,,,
Arquitectura técnica y preparación de entornos,Definición de arquitectura lógica y tecnológica,,"Diseño de arquitectura web, capas de frontend/backend/API, patrones de integración, logging, auditoría, despliegue y seguridad base.",X,,,,36,1,1,,,,,,,,
,Diseño de modelo de datos base agro-ganadero,,"Modelo entidad-relación base para explotaciones, usuarios, parcelas, animales, movimientos, actividades, documentos, catálogos y trazabilidad.",X,,,,42,1,1,,,,,,,,
,"Configuración de repositorios, ambientes y CI/CD básica",,"Configuración de entornos dev/test/demo, repositorios, pipelines de build/deploy, variables de entorno y backups iniciales.",X,,,,34,1,1,,,,,,,,
Core plataforma web,Implementación de login y autenticación,,"Desarrollo de autenticación, recuperación de contraseña, sesiones, seguridad API y base para gestión de acceso.",X,,,,38,1,1,,,,,,,,
,"Gestión base de usuarios, perfiles y permisos",,"Modelo y pantallas base de usuarios, perfiles administrador/editor/lector, permisos iniciales y asociación a explotaciones.",X,,,,34,1,1,,,,,,,,
,"Layout general, navegación de tres niveles y responsive",,"Implementación de estructura visual web con menú superior, barra lateral, submenú contextual, breadcrumb y adaptación a escritorio/tablet/móvil.",X,,,,28,1,1,,,,,,,,
QA y estabilización MVP,Plan de pruebas MVP y matriz de cobertura,,"Definición de estrategia de pruebas del MVP, matriz de cobertura por módulo, datos de prueba, criterios de aceptación y priorización de incidencias.",X,,,,34,,,,1,1,,,,,
,"Pruebas funcionales, regresión y corrección de bugs del MVP",,"Ejecución de pruebas funcionales del MVP, validación de flujos críticos, registro de incidencias, regresión y soporte a correcciones.",X,,,,58,,,,,1,1,,,,
,UAT piloto MVP y estabilización para salida controlada,,"Pruebas con usuarios piloto, consolidación de feedback, ajustes de estabilización, revisión de documentación y checklist para liberación del MVP.",,X,,,40,,,,,1,1,,,,
Funcionalidades - Explotaciones,Desarrollo de Funcionalidad:,Listado Explotaciones (Agricultura),"Listado, búsqueda, alta y administración de explotaciones, con segmentación por tipo y acceso a ficha operativa.",,,X,,50,,,,,1,1,,,,
,Desarrollo de Funcionalidad:,Listado Explotaciones (Ganadería),"Listado, búsqueda, alta y administración de explotaciones, con segmentación por tipo y acceso a ficha operativa.",,,X,,42,,,,,1,1,,,,
Funcionalidades - Datos de la Explotación,Desarrollo de Funcionalidad:,Datos generales (explotacion) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Datos generales (explotacion).",X,,,,20,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Datos generales (explotacion) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Datos generales (explotacion).",X,,,,20,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Empleados (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Empleados.",,X,,,17,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Empleados (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Empleados.",X,,,,17,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Edificios e Instalaciones (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Edificios e Instalaciones.",X,,,,18,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Edificios e Instalaciones (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Edificios e Instalaciones.",X,,,,18,1,,,,,,,,,
,Desarrollo de Funcionalidad:,Maquinaria / Vehiculos (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Maquinaria / Vehiculos.",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,Maquinaria / Vehiculos (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Maquinaria / Vehiculos.",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,Usuarios autorizados (cargar datos explotación) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Usuarios autorizados (cargar datos explotación).",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,Usuarios autorizados (cargar datos explotación) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Usuarios autorizados (cargar datos explotación).",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,Aplicadores (persona q aplica productos) (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a Aplicadores (persona q aplica productos).",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,Aplicadores (persona q aplica productos) (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a Aplicadores (persona q aplica productos).",X,,,,18,,1,,,,,,,,
,Desarrollo de Funcionalidad:,PRODUCTOS (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a PRODUCTOS.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,PRODUCTOS (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a PRODUCTOS.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,CLIENTES (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a CLIENTES.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,CLIENTES (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a CLIENTES.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,PROVEEDORES (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a PROVEEDORES.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,PROVEEDORES (Ganadería),"Desarrollo de módulo ganadero para registrar, consultar, editar, validar y exportar la información asociada a PROVEEDORES.",,X,,,17,,1,,,,,,,,
,Desarrollo de Funcionalidad:,TRANSPORTISTAS (Agricultura),"Desarrollo de módulo agrícola para registrar, consultar, editar, validar y exportar la información asociada a TRANSPORTISTAS.",,X,,,17,,1,,,,,,,,
